Year,CO2
-538635,212.9
-537565,206.4
-537565,206.4
-537565,206.4
-536492,205
-536492,205
-535385,199.4
-535385,199.4
-535385,199.4
-534229,199.8
-534229,199.8
-533746,190.5
-533095,193.8
-532719,195.1
-532719,195.1
-531983,200
-531605,204.4
-531039,211.4
-530644,214.5
-530130,220.7
-530130,220.7
-529252,220.3
-529252,220.3
-528342,221.2
-528342,221.2
-527454,222.7
-527454,222.7
-526568,224.7
-526568,224.7
-525750,227.8
-525750,227.8
-524947,230.3
-524947,230.3
-524158,233.7
-524158,233.7
-523388,235.8
-522622,236.8
-522622,236.8
-521853,241.9
-521853,241.9
-521853,241.9
-521853,241.9
-519625,243.5
-519625,243.5
-519625,243.5
-518873,245.5
-518873,245.5
-518124,247.7
-518124,247.7
-517380,245.3
-516651,245.5
-516651,245.5
-515927,246.2
-515927,246.2
-515206,247.2
-514472,243
-514472,243
-513702,241.5
-513702,241.5
-512899,239.2
-512899,239.2
-512084,238.2
-512084,238.2
-511256,242
-511256,242
-510415,235.2
-510415,235.2
-509563,236.4
-509563,236.4
-508703,233.4
-508703,233.4
-507836,240.3
-507836,240.3
-506992,237
-506992,237
-506169,238.2
-505363,236
-505363,236
-504535,235.5
-504535,235.5
-503735,233.9
-503735,233.9
-502963,234.1
-502963,234.1
-502228,232.2
-502228,232.2
-501470,232
-500689,231.2
-500689,231.2
-499912,230.8
-499912,230.8
-499135,228.2
-499135,228.2
-498356,230.8
-498356,230.8
-497578,230.6
-496788,232.8
-496788,232.8
-496017,236.5
-496017,236.5
-495239,236.4
-495239,236.4
-494495,237.6
-494495,237.6
-493777,238.5
-493075,238.3
-493075,238.3
-492351,239.1
-492351,239.1
-491644,239.7
-490915,243.7
-490915,243.7
-490206,246.7
-489502,243.3
-489502,243.3
-488785,242.6
-488546,249.3
-488077,252.8
-487771,240.9
-487353,242
-486616,237.1
-486616,237.1
-485899,231.3
-485899,231.3
-485180,232.9
-484450,233
-484450,233
-483719,231.2
-483719,231.2
-482987,231.4
-482231,231.4
-482231,231.4
-481446,227.3
-481446,227.3
-480632,223.4
-480632,223.4
-479714,223.8
-479714,223.8
-478778,218.8
-478778,218.8
-478379,220.8
-477827,231.3
-477454,236.5
-476943,239.1
-476943,239.1
-475992,236.6
-475992,236.6
-475001,232.8
-475001,232.8
-473976,233.1
-473976,233.1
-473976,233.1
-473025,241.2
-473025,241.2
-472143,245.6
-471852,243.9
-471269,243.7
-470914,232.7
-470314,229.2
-469876,218.7
-469876,218.7
-469252,215.5
-468777,206.5
-468091,205.5
-468091,205.5
-466929,203.4
-466929,203.4
-466929,203.4
-465758,204.4
-465758,204.4
-465758,204.4
-464683,208.1
-464683,208.1
-463653,210
-463653,210
-463316,205.2
-462650,199.9
-462650,199.9
-461578,194.4
-461578,194.4
-461578,194.4
-460465,190.7
-460465,190.7
-459337,195.5
-459337,195.5
-459337,195.5
-458303,202.4
-458303,202.4
-457263,208.3
-457263,208.3
-456845,203.3
-456259,204.3
-455796,199.1
-455165,192.5
-455165,192.5
-454053,193.3
-454053,193.3
-454053,193.3
-452915,198.4
-452915,198.4
-452915,198.4
-451827,201.9
-451827,201.9
-450787,204.9
-450787,204.9
-450787,204.9
-449798,201.2
-449798,201.2
-448694,201.7
-448694,201.7
-447622,208.1
-447622,208.1
-447622,208.1
-446510,203.5
-446510,203.5
-446510,203.5
-445270,201.1
-445270,201.1
-445270,201.1
-443383,199.1
-443383,199.1
-443383,199.1
-443383,199.1
-441896,202
-441896,202
-441896,202
-441896,202
-440282,201.3
-440282,201.3
-440282,201.3
-440282,201.3
-438711,201.7
-438711,201.7
